category,mention_count,avg_priority,avg_semantic,avg_tiktok,max_engagement
creator_commerce,13961,0.18619210378912684,0.07125379250555315,0.41261370961965477,884.0
business_context,5073,0.05898081194559432,0.07295413007122419,0.045830869308101714,0.0
product_taxonomy,2023,0.03728434107760751,0.0394307979730481,0.03695007414730598,129.0
beauty_skincare,552,0.04791423550724638,0.047386636978454945,0.057065217391304345,15.0
home_living,473,0.029674636363636365,0.038655164262136735,0.01744186046511628,17.0
food_beverage,441,0.022670079365079365,0.03376786574685653,0.0045351473922902496,16.0
health_wellness,342,0.027158809941520468,0.03868774726840913,0.009502923976608187,10.0
fashion_apparel,339,0.027051879056047196,0.04291847630450287,0.0014749262536873156,0.0
tech_gadgets,332,0.018968225903614456,0.02862955537264825,0.0037650602409638554,3.0
seed_signal,240,0.07143067083333333,0.05968086136867346,0.109375,10.0
baby_parenting,191,0.022323628272251306,0.03537255354980278,0.0013089005235602095,0.0
outdoor_travel,160,0.032805837500000004,0.052912713871350395,0.0,0.0
pets,108,0.024229731481481484,0.03908034920050579,0.0,0.0
fashion,36,0.022865194444444445,0.03687944657469863,0.0,0.0
